model_name,num_children,has_parent,is_in_records,license,author
- google/gemma-7b,8,False,False,,
- answerdotai/ModernBERT-base,8,False,False,,
- Qwen/Qwen3-1.7B,8,False,False,,
- Qwen/Qwen2.5-VL-32B-Instruct,8,False,False,,
- Qwen/Qwen2.5-Coder-7B-Instruct,8,False,False,,
- OpenGVLab/InternViT-300M-448px,8,False,False,,
- mistralai/Mistral-7B-Instruct-v0.2,7,False,False,,
jiajunlong/TinyLLaVA-OpenELM-450M-CLIP-0.55B,7,False,True,,
jeff31415/TinyLlama-1.1B-1T-OpenOrca,7,False,True,apache-2.0,
google/gemma-2b-it,7,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,7,False,False,,
Qwen/Qwen3-0.6B-Base,7,False,False,,
- nvidia/OpenReasoning-Nemotron-1.5B,7,False,False,,
- Qwen/Qwen2-VL-7B-Instruct,7,False,False,,
- meta-llama/Llama-3.1-8B,7,False,False,,
- Qwen/Qwen2.5-32B,7,False,False,,
- laion/CLIP-ViT-H-14-laion2B-s32B-b79K,7,False,False,,
- OpenGVLab/InternViT-6B-448px-V2_5,7,False,False,,
- OpenGVLab/InternVL2-2B,7,False,False,,
- Qwen/Qwen3-4B,7,False,False,,
- aaditya/Llama3-OpenBioLLM-8B,7,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,False,False,,
unsloth/OpenHermes-2.5-Mistral-7B-bnb-4bit,6,False,True,apache-2.0,
tiiuae/falcon-7b,6,False,False,,
stabilityai/sdxl-turbo,6,False,False,,
sarvamai/OpenHathi-7B-Hi-v0.1-Base,6,False,True,llama2,
openthaigpt/openthaigpt-1.0.0-beta-13b-chat-hf,6,False,True,apache-2.0,
openai/whisper-large,6,False,True,apache-2.0,
monology/openinstruct-mistral-7b,6,False,True,apache-2.0,
mistral-7b,6,False,False,,
meta-llama/Llama-3.2-3B,6,False,False,,
gorilla-llm/gorilla-openfunctions-v1,6,False,True,apache-2.0,
google/gemma-2-2b-it,6,False,False,,
- OpenVoiceOS/pipertts_pt-PT_miro,6,False,False,,
Weyaxi/OpenOrca-Zephyr-7B,6,False,True,cc-by-nc-4.0,
- microsoft/phi-4,6,False,False,,
Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-1-7B,6,False,True,apache-2.0,
- OpenGVLab/InternVL2-1B,6,False,False,,
- internlm/internlm2-chat-1_8b,6,False,False,,
- lmsys/vicuna-7b-v1.5,6,False,False,,
- OpenGVLab/InternVL2-4B,6,False,False,,
- mistralai/Mistral-7B-Instruct-v0.1,6,False,False,,
- nvidia/OpenReasoning-Nemotron-32B,6,False,False,,
Qwen/QwQ-32B,6,False,False,,
SanjiWatsuki/openchat-3.5-1210-starling-slerp,6,False,True,cc-by-4.0,
meta-llama/Llama-3.2-1B,5,False,False,,
VMware/open-llama-7b-v2-open-instruct,5,False,True,cc-by-sa-3.0,
Weyaxi/openchat-3.5-1210-Seraph-Slerp,5,False,True,apache-2.0,
beomi/open-llama-2-ko-7b,5,False,True,mit,
beowolx/CodeNinja-1.0-OpenChat-7B,5,False,True,mit,
cyberagent/open-calm-small,5,False,True,cc-by-sa-4.0,
distilbert-base-uncased,5,False,False,,
mediocredev/open-llama-3b-v2-instruct,5,False,True,apache-2.0,
openbmb/MiniCPM-2B-dpo-bf16-llama-format,5,False,True,other,
microsoft/Phi-4-mini-instruct,5,False,False,,
microsoft/phi-1_5,5,False,False,,
microsoft/phi-4,5,False,False,,
mistralai/Mistral-7B-Instruct-v0.1,5,False,False,,
openai-community/gpt2,5,False,True,mit,
openchat/openchat_v3.2_super,5,False,True,llama2,
tiiuae/Falcon3-7B-Instruct,5,False,False,,
Qwen/Qwen2.5-Coder-7B-Instruct,5,False,False,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,5,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,5,False,False,,
Qwen/Qwen2.5-7B-Instruct-1M,5,False,False,,
Norquinal/OpenCAI-7B,5,False,True,cc-by-nc-4.0,
Openmindedness/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit_lora,5,False,True,,
- Qwen/Qwen2-1.5B-Instruct,5,False,False,,
- Qwen/Qwen2.5-14B,5,False,False,,
- Qwen/Qwen2.5-Coder-32B-Instruct,5,False,False,,
- Qwen/Qwen3-14B,5,False,False,,
- laion/CLIP-ViT-g-14-laion2B-s12B-b42K,5,False,False,,
- openai/gpt-oss-20b,5,False,False,,
- openchat/openchat_3.5,5,False,False,,
- google/siglip2-base-patch16-224,5,False,False,,
NurtureAI/openchat_3.5-16k,5,False,False,,
OpenSafetyLab/MD-Judge-v0.1,5,False,True,apache-2.0,
- OpenLLM-Ro/RoLlama2-7b-Base,5,False,False,,
OpenBuddy/openbuddy-llama3.1-8b-v22.1-131k,5,False,True,other,
OpenBuddy/openbuddy-llama3.3-70b-v24.1-131k,5,False,True,llama3.3,
OpenBuddy/openbuddy-mistral-7b-v13.1,5,False,True,apache-2.0,
OpenBuddy/openbuddy-openllama-7b-v12-bf16,5,False,True,apache-2.0,
OpenBuddy/openbuddy-llama3-8b-v21.1-8k,5,False,True,other,
Weyaxi/Dolphin2.1-OpenOrca-7B,4,False,True,apache-2.0,
Weyaxi/Seraph-openchat-3.5-1210-Slerp,4,False,True,apache-2.0,
allenai/OLMo-2-1124-7B-Instruct,4,False,False,,
google/gemma-7b-it,4,False,False,,
allenai/OLMo-7B-0724-hf,4,False,False,,
allenai/open-instruct-human-mix-65b,4,False,True,,
arcee-ai/AFM-4.5B,4,False,False,,
Qwen/Qwen3-4B,4,False,False,,
S4sch/Open-Hermes-2.5-neural-chat-3.1-frankenmerge-11b,4,False,True,apache-2.0,
OpenBuddy/openbuddy-qwen2.5llamaify-14b-v23.3-200k,4,False,True,apache-2.0,
Qwen/Qwen3-14B-Base,4,False,False,,
Qwen/Qwen3-1.7B-base,4,False,False,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,4,False,False,,
Qwen/Qwen2.5-72B-Base,4,False,False,,
Qwen/Qwen2-7B-Instruct,4,False,False,,
Qwen/QwQ-32B-Preview,4,False,False,,
OpenBuddy/openbuddy-zero-56b-v21.2-32k,4,False,True,other,
OpenBuddy/openbuddy-zero-3b-v21.2-32k,4,False,True,other,
infly/OpenCoder-8B-Base,4,False,True,other,
OpenBuddy/openbuddy-qwen1.5-32b-v21.1-32k,4,False,True,other,
harborwater/open-llama-3b-v2-wizard-evol-instuct-v2-196k,4,False,True,apache-2.0,
shleeeee/mistral-ko-OpenOrca-Platypus-v1,4,False,True,other,
llm-jp/llm-jp-3-13b-instruct2,4,False,False,,
meta-llama/Llama-2-13b-hf,4,False,False,,
