owner,apache-2.0,bigscience-bloom-rail-1.0,cc-by-4.0,cc-by-nc-4.0,cc-by-nc-sa-4.0,cdla-permissive-2.0,creativeml-openrail-m,gemma,llama2,llama3,llama3.1,llama3.2,llama3.3,mit,ms-pl,other,unknown,TOTAL
google,638,0,23,1,0,0,0,329,1,2,0,0,0,2,0,24,30,1050
microsoft,80,2,0,0,7,1,1,0,0,1,0,0,0,236,1,8,90,427
Qwen,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,16,362
deepseek-ai,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,41,17,78
meta-llama,0,0,0,0,0,0,0,0,25,5,11,15,1,0,0,13,0,70
mistralai,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39
xai-org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
