child_model,base_model
mradermacher/openhands-lm-1.5b-v0.1-GGUF,all-hands/openhands-lm-1.5b-v0.1
mradermacher/openhands-lm-7b-v0.1-GGUF,all-hands/openhands-lm-7b-v0.1
mradermacher/openhands-lm-1.5b-v0.1-i1-GGUF,all-hands/openhands-lm-1.5b-v0.1
mradermacher/openhands-lm-7b-v0.1-i1-GGUF,all-hands/openhands-lm-7b-v0.1
mradermacher/Qwen2.5-VL-3B-Instruct-Open-R1-Distill-i1-GGUF,zzhang1987/Qwen2.5-VL-3B-Instruct-Open-R1-Distill
mradermacher/openhands-lm-32b-v0.1-jackterated-i1-GGUF,JackCloudman/openhands-lm-32b-v0.1-jackterated
mradermacher/OpenThinker2-7B-GGUF,open-thoughts/OpenThinker2-7B
mradermacher/OpenThinker2-7B-i1-GGUF,open-thoughts/OpenThinker2-7B
mradermacher/OpenThinker2-32B-GGUF,open-thoughts/OpenThinker2-32B
mradermacher/openhands-lm-32b-v0.1-abliterated-GGUF,huihui-ai/openhands-lm-32b-v0.1-abliterated
mradermacher/openhands-lm-32b-v0.1-abliterated-i1-GGUF,huihui-ai/openhands-lm-32b-v0.1-abliterated
mradermacher/OpenRS3-GRPO-ja-GGUF,EQUES/OpenRS3-GRPO-ja
mradermacher/OpenThinker2-32B-i1-GGUF,open-thoughts/OpenThinker2-32B
mradermacher/openbuddy-qwq-32b-v25.1-200k-i1-GGUF,OpenBuddy/openbuddy-qwq-32b-v25.1-200k
mradermacher/Open-StaMis-stock-GGUF,mayacinka/Open-StaMis-stock
mradermacher/Open-StaMis-v02-stock-GGUF,mayacinka/Open-StaMis-v02-stock
OpenSearch-AI/Ops-MM-embedding-v1-7B,- Qwen/Qwen2-VL-7B-Instruct
OpenSearch-AI/Ops-MM-embedding-v1-2B,- Qwen/Qwen2-VL-2B-Instruct
mradermacher/openbuddy-llama3.2-1b-v23.1-131k-GGUF,OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k
mradermacher/openbuddy-llama3.2-1b-v23.1-131k-i1-GGUF,OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k
mradermacher/OpenCoder-8B-Instruct-abliterated-GGUF,huihui-ai/OpenCoder-8B-Instruct-abliterated
mradermacher/OpenCoder-8B-Instruct-abliterated-i1-GGUF,huihui-ai/OpenCoder-8B-Instruct-abliterated
mradermacher/openthaigpt1.5-14b-act-of-legislation-GGUF,Avocaduu14/openthaigpt1.5-14b-act-of-legislation
mradermacher/openthaigpt1.5-7b-act-of-legislation-GGUF,Avocaduu14/openthaigpt1.5-7b-act-of-legislation
mradermacher/OpenR1-SmolLM2-1.7B-Instruct-Agentic-GGUF,m-ric/OpenR1-SmolLM2-1.7B-Instruct-Agentic
mradermacher/CantoSent-Llama3-8B-OpenRice-v1-GGUF,charlottegl/CantoSent-Llama3-8B-OpenRice-v1
mradermacher/CantoSent-Llama3-8B-OpenRice-v3-GGUF,charlottegl/CantoSent-Llama3-8B-OpenRice-v3
mradermacher/CantoSent-Llama3.1-8B-OpenRice-GGUF,charlottegl/CantoSent-Llama3.1-8B-OpenRice
mradermacher/OpenThoughts-114k-Rewrite-Thoughts-Llama-3.2-3B-Instruct-GGUF,mlfoundations-dev/OpenThoughts-114k-Rewrite-Thoughts-Llama-3.2-3B-Instruct
mradermacher/OpenThoughts-114k-Rewrite-Thoughts-Llama-3.2-3B-Instruct-i1-GGUF,mlfoundations-dev/OpenThoughts-114k-Rewrite-Thoughts-Llama-3.2-3B-Instruct
mradermacher/CantoSent-Llama3.1-8B-OpenRice-i1-GGUF,charlottegl/CantoSent-Llama3.1-8B-OpenRice
mradermacher/Qwen2.5-1.5B-Open-R1-Distill_medical_4096-GGUF,Mumamonster/Qwen2.5-1.5B-Open-R1-Distill_medical_4096
mradermacher/Qwen2.5-1.5B-Open-R1-Distill_medical_4096-i1-GGUF,Mumamonster/Qwen2.5-1.5B-Open-R1-Distill_medical_4096
mradermacher/CantoSent-Llama3-8B-OpenRice-v2-GGUF,charlottegl/CantoSent-Llama3-8B-OpenRice-v2
mradermacher/CantoSent-Qwen-7B-OpenRice-v2-GGUF,charlottegl/CantoSent-Qwen-7B-OpenRice-v2
mradermacher/CantoSent-Qwen-7B-OpenRice-v1-GGUF,charlottegl/CantoSent-Qwen-7B-OpenRice-v1
mradermacher/CantoSent-Qwen-7B-OpenRice-v3-GGUF,charlottegl/CantoSent-Qwen-7B-OpenRice-v3
mradermacher/OpenThoughts2-1M-scrubbed-GGUF,mlfoundations-dev/OpenThoughts2-1M-scrubbed
mradermacher/OpenThoughts2-1M-scrubbed-i1-GGUF,mlfoundations-dev/OpenThoughts2-1M-scrubbed
mradermacher/Llama_3.x_70b_Tess_OpenBioLLM_128K_v1.0-i1-GGUF,Nexesenex/Llama_3.x_70b_Tess_OpenBioLLM_128K_v1.0
mradermacher/openbuddy-wayfarer-70b-v25.1-131k-i1-GGUF,OpenBuddy/openbuddy-wayfarer-70b-v25.1-131k
mradermacher/QwQ-openhands-coder-32B-GGUF,YOYO-AI/QwQ-openhands-coder-32B
mradermacher/QwQ-openhands-Code-32B-GGUF,mergekit-community/QwQ-openhands-Code-32B
mradermacher/QwQ-openhands-coder-32B-i1-GGUF,YOYO-AI/QwQ-openhands-coder-32B
mradermacher/QwQ-openhands-Code-32B-i1-GGUF,mergekit-community/QwQ-openhands-Code-32B
mradermacher/Asterope-21-OpenR1-GGUF,prithivMLmods/Asterope-21-OpenR1
mradermacher/Lota-Carinae-Open-GRPO-GGUF,prithivMLmods/Lota-Carinae-Open-GRPO
mradermacher/Lota-Carinae-Open-GRPO-i1-GGUF,prithivMLmods/Lota-Carinae-Open-GRPO
mradermacher/Asterope-21-OpenR1-i1-GGUF,prithivMLmods/Asterope-21-OpenR1
mradermacher/openthoughts2_1k_32B-GGUF,mlfoundations-dev/openthoughts2_1k_32B
mradermacher/openthoughts2_1k_32B-i1-GGUF,mlfoundations-dev/openthoughts2_1k_32B
mradermacher/OpenMath-Nemotron-1.5B-GGUF,nvidia/OpenMath-Nemotron-1.5B
mradermacher/OpenMath-Nemotron-7B-GGUF,nvidia/OpenMath-Nemotron-7B
mradermacher/OpenMath-Nemotron-1.5B-i1-GGUF,nvidia/OpenMath-Nemotron-1.5B
mradermacher/OpenMath-Nemotron-14B-i1-GGUF,nvidia/OpenMath-Nemotron-14B
mradermacher/OpenMath-Nemotron-7B-i1-GGUF,nvidia/OpenMath-Nemotron-7B
mradermacher/OpenMath-Nemotron-14B-Kaggle-i1-GGUF,nvidia/OpenMath-Nemotron-14B-Kaggle
mradermacher/OpenMath-Nemotron-32B-i1-GGUF,nvidia/OpenMath-Nemotron-32B
mradermacher/Deepthink-1.5B-Open-PRM-GGUF,prithivMLmods/Deepthink-1.5B-Open-PRM
mradermacher/OpenR1-Qwen-7B-SFT-SI-GGUF,Tony042/OpenR1-Qwen-7B-SFT-SI
mradermacher/openthoughts_0.3k-GGUF,mlfoundations-dev/openthoughts_0.3k
mradermacher/openthoughts_30k-GGUF,mlfoundations-dev/openthoughts_30k
mradermacher/openthoughts2_0.3k-GGUF,mlfoundations-dev/openthoughts2_0.3k
mradermacher/openbuddy-qwq-32b-v25.2q-200k-GGUF,OpenBuddy/openbuddy-qwq-32b-v25.2q-200k
mradermacher/openbuddy-qwq-32b-v25.2q-200k-i1-GGUF,OpenBuddy/openbuddy-qwq-32b-v25.2q-200k
mradermacher/openhands-Nemotron-32B-karcher-i1-GGUF,mergekit-community/openhands-Nemotron-32B-karcher
mradermacher/Llama_3.x_70b_L3.3_OpenBioLLM_128K_v1.02-i1-GGUF,Nexesenex/Llama_3.x_70b_L3.3_OpenBioLLM_128K_v1.02
mradermacher/OpenThinker2-32B-Uncensored-i1-GGUF,nicoboss/OpenThinker2-32B-Uncensored
mradermacher/openthoughts_100k_32B-GGUF,mlfoundations-dev/openthoughts_100k_32B
mradermacher/opencodereasoning_32B-GGUF,mlfoundations-dev/opencodereasoning_32B
mradermacher/OpenR1-Qwen-7B-nsa-B1024-hwfalse-GGUF,ZMC2019/OpenR1-Qwen-7B-nsa-B1024-hwfalse
mradermacher/gemma-7b-openhermes-v0.80-GGUF,lemon-mint/gemma-7b-openhermes-v0.80
mradermacher/OpenR1-Qwen-7B-nsa-B1024-hwfalse-i1-GGUF,ZMC2019/OpenR1-Qwen-7B-nsa-B1024-hwfalse
mradermacher/gemma-7b-openhermes-v0.80-i1-GGUF,lemon-mint/gemma-7b-openhermes-v0.80
mradermacher/OpenCodeReasoning-Nemotron-32B-GGUF,nvidia/OpenCodeReasoning-Nemotron-32B
mradermacher/OpenCodeReasoning-Nemotron-32B-IOI-GGUF,nvidia/OpenCodeReasoning-Nemotron-32B-IOI
mradermacher/OpenCodeReasoning-Nemotron-32B-i1-GGUF,nvidia/OpenCodeReasoning-Nemotron-32B
mradermacher/OpenCodeReasoning-Nemotron-32B-IOI-i1-GGUF,nvidia/OpenCodeReasoning-Nemotron-32B-IOI
mradermacher/OpenCodeReasoning-Nemotron-7B-GGUF,nvidia/OpenCodeReasoning-Nemotron-7B
mradermacher/OpenCodeReasoning-Nemotron-14B-GGUF,nvidia/OpenCodeReasoning-Nemotron-14B
mradermacher/OpenCodeReasoning-Nemotron-7B-i1-GGUF,nvidia/OpenCodeReasoning-Nemotron-7B
mradermacher/OpenCodeReasoning-Nemotron-14B-i1-GGUF,nvidia/OpenCodeReasoning-Nemotron-14B
mradermacher/SWE-Gym-OpenHands-7B-Agent-GGUF,NovaSky-AI/SWE-Gym-OpenHands-7B-Agent
mradermacher/OpenRHO-2B-Thinker-GGUF,prithivMLmods/OpenRHO-2B-Thinker
mradermacher/Open-Xi-Math-Preview-GGUF,prithivMLmods/Open-Xi-Math-Preview
mradermacher/Crux-Qwen3_OpenThinking-4B-GGUF,prithivMLmods/Crux-Qwen3_OpenThinking-4B
mradermacher/Crux-Qwen3_OpenThinking-4B-i1-GGUF,prithivMLmods/Crux-Qwen3_OpenThinking-4B
mradermacher/openchatgpt-neox-125m-i1-GGUF,mrsteyk/openchatgpt-neox-125m
mradermacher/Qwen3-4B-Open-R1-Distill_1-GGUF,angelchen/Qwen3-4B-Open-R1-Distill_1
mradermacher/Qwen3-4B-Open-R1-Distill_1-i1-GGUF,angelchen/Qwen3-4B-Open-R1-Distill_1
mradermacher/openbookqa-16bit-Qwen2.5-1.5B-Instruct-GGUF,zfdev/openbookqa-16bit-Qwen2.5-1.5B-Instruct
mradermacher/opensearch-neural-sparse-encoding-doc-v2-distill-GGUF,opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill
mradermacher/opensearch-neural-sparse-encoding-v2-distill-GGUF,opensearch-project/opensearch-neural-sparse-encoding-v2-distill
mradermacher/openbuddy-qwen3-32b-v26.1-i1-GGUF,OpenBuddy/openbuddy-qwen3-32b-v26.1
mradermacher/OpenThoughts3_1.5B-GGUF,mlfoundations-dev/OpenThoughts3_1.5B
mradermacher/OpenThoughts3_1.5B-i1-GGUF,mlfoundations-dev/OpenThoughts3_1.5B
mradermacher/QwQ-32B_openthoughts3_100k-GGUF,mlfoundations-dev/QwQ-32B_openthoughts3_100k
mradermacher/QwQ-32B_openthoughts3_100k-i1-GGUF,mlfoundations-dev/QwQ-32B_openthoughts3_100k
mradermacher/wordle-agent-OpenThinker3-7B-sft-golden-GGUF,saketh-chervu/wordle-agent-OpenThinker3-7B-sft-golden
mradermacher/wordle-agent-OpenThinker3-7B-sft-GGUF,saketh-chervu/wordle-agent-OpenThinker3-7B-sft
mradermacher/OpenBuddy-R10528DistillQwen-14B-v27-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-14B-v27
mradermacher/OpenBuddy-R10528DistillQwen-14B-v27-i1-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-14B-v27
mradermacher/DeepSeek-R1-Distill-Qwen-1.5B_OpenThoughts3-GGUF,mlfoundations-dev/DeepSeek-R1-Distill-Qwen-1.5B_OpenThoughts3
open-thoughts/OpenThinker3-1.5B,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview2-QAT-GGUF,OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview2-QAT
mradermacher/OpenBuddy-R10528DistillQwen-14B-v27.1-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-14B-v27.1
mradermacher/OpenBuddy-R10528DistillQwen-14B-v27.1-i1-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-14B-v27.1
mradermacher/DeepSeek-R1-Distill-Qwen-7B_OpenThoughts3-GGUF,mlfoundations-dev/DeepSeek-R1-Distill-Qwen-7B_OpenThoughts3
mradermacher/Qwen2.5-7B-Instruct_openthoughts3_300k_annotated_Qwen3-32B-GGUF,mlfoundations-dev/Qwen2.5-7B-Instruct_openthoughts3_300k_annotated_Qwen3-32B
mradermacher/QwQ-32B_openthoughts3_300k-GGUF,mlfoundations-dev/QwQ-32B_openthoughts3_300k
mradermacher/DeepSeek-R1-Distill-Qwen-7B_OpenThoughts3-i1-GGUF,mlfoundations-dev/DeepSeek-R1-Distill-Qwen-7B_OpenThoughts3
mradermacher/Qwen2.5-7B-Instruct_openthoughts3_300k_annotated_Qwen3-32B-i1-GGUF,mlfoundations-dev/Qwen2.5-7B-Instruct_openthoughts3_300k_annotated_Qwen3-32B
mradermacher/QwQ-32B_openthoughts3_300k-i1-GGUF,mlfoundations-dev/QwQ-32B_openthoughts3_300k
mradermacher/Qwen2.5-7B-Open-R1-Code-GRPO-GGUF,AmberYifan/Qwen2.5-7B-Open-R1-Code-GRPO
mradermacher/openthoughts3_full_qwen25_1b-GGUF,mlfoundations-dev/openthoughts3_full_qwen25_1b
mradermacher/Qwen2.5-7B_OpenThoughts3-GGUF,mlfoundations-dev/Qwen2.5-7B_OpenThoughts3
mradermacher/Qwen2.5-7B_OpenThoughts3-i1-GGUF,mlfoundations-dev/Qwen2.5-7B_OpenThoughts3
mradermacher/OpenBuddy-R10528DistillQwen-14B-v27.3-200K-i1-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-14B-v27.3-200K
mradermacher/OpenCodeReasoning-Nemotron-1.1-14B-GGUF,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
mradermacher/OpenCodeReasoning-Nemotron-1.1-7B-i1-GGUF,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
mradermacher/OpenCSG-Qwen2.5-3B-GUI-i1-GGUF,opencsg/OpenCSG-Qwen2.5-3B-GUI
mradermacher/OpenCSG-Qwen2.5-7B-GUI-i1-GGUF,opencsg/OpenCSG-Qwen2.5-7B-GUI
JackBinary/OpenCodeReasoning-Nemotron-1.1-7B-q4f32_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
JackBinary/OpenCodeReasoning-Nemotron-1.1-7B-q4f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
JackBinary/OpenCodeReasoning-Nemotron-1.1-7B-q3f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
JackBinary/OpenCodeReasoning-Nemotron-1.1-7B-q0f32-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
JackBinary/OpenCodeReasoning-Nemotron-1.1-7B-q0f16-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-7B
JackBinary/OpenCodeReasoning-Nemotron-1.1-14B-q4f32_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
JackBinary/OpenCodeReasoning-Nemotron-1.1-14B-q4f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
JackBinary/OpenCodeReasoning-Nemotron-1.1-14B-q3f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
JackBinary/OpenCodeReasoning-Nemotron-1.1-14B-q0f32-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
JackBinary/OpenCodeReasoning-Nemotron-1.1-14B-q0f16-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
JackBinary/OpenCodeReasoning-Nemotron-1.1-32B-q4f32_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
JackBinary/OpenCodeReasoning-Nemotron-1.1-32B-q4f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
JackBinary/OpenCodeReasoning-Nemotron-1.1-32B-q3f16_1-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
JackBinary/OpenCodeReasoning-Nemotron-1.1-32B-q0f32-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
JackBinary/OpenCodeReasoning-Nemotron-1.1-32B-q0f16-MLC,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
mradermacher/OpenVLThinker-7B-i1-GGUF,ydeng9/OpenVLThinker-7B
k1h0/OpenCoder-8B-Instruct-query_nsx_under8,infly/OpenCoder-8B-Instruct
k1h0/OpenCoder-8B-Instruct-query_nlx_under8,infly/OpenCoder-8B-Instruct
ydeng9/OpenVLThinker-7B-v1.2-sft-iter3,Qwen/Qwen2.5-VL-7B-Instruct
jyc0325/Qwen2.5-1.5B-Open-R1-Code-GRPOv2,Qwen/Qwen2.5-1.5B-Instruct
quantized4all/OpenCodeReasoning-Nemotron-1.1-7B-GGUF,- Qwen/Qwen2.5-7B-Instruct
tensorblock/openbmb_MiniCPM4-MCP-GGUF,openbmb/MiniCPM4-MCP
quantized4all/OpenCodeReasoning-Nemotron-1.1-32B-GGUF,- Qwen/Qwen2.5-32B-Instruct
tensorblock/mlfoundations-dev_openthoughts3_100k_buggy-GGUF,mlfoundations-dev/openthoughts3_100k_buggy
tensorblock/CHIH-HUNG_llama-2-13b-OpenOrca_5w-GGUF,CHIH-HUNG/llama-2-13b-OpenOrca_5w
tensorblock/klosax_open_llama_7b_400bt_preview-GGUF,klosax/open_llama_7b_400bt_preview
tensorblock/OpenMEDLab_PULSE-7bv5-GGUF,OpenMEDLab/PULSE-7bv5
tensorblock/teknium_OpenHermes-7B-GGUF,teknium/OpenHermes-7B
tensorblock/lgaalves_llama-2-7b-hf_open-platypus-GGUF,lgaalves/llama-2-7b-hf_open-platypus
tensorblock/openchat_openchat_v3.2_super-GGUF,openchat/openchat_v3.2_super
tensorblock/Open-Orca_Mistral-7B-OpenOrca-GGUF,Open-Orca/Mistral-7B-OpenOrca
tensorblock/OpenLLM-France_Claire-Mistral-7B-0.1-GGUF,OpenLLM-France/Claire-Mistral-7B-0.1
tensorblock/MNCKim_Mistral-7B-OpenHermes-GGUF,MNCKim/Mistral-7B-OpenHermes
tensorblock/OpenBuddy_openbuddy-mistral-7b-v13-base-GGUF,OpenBuddy/openbuddy-mistral-7b-v13-base
tensorblock/OpenBuddy_openbuddy-openllama-7b-v12-bf16-GGUF,OpenBuddy/openbuddy-openllama-7b-v12-bf16
tensorblock/openchat_openchat_v2-GGUF,openchat/openchat_v2
tensorblock/openchat_openchat_8192-GGUF,openchat/openchat_8192
tensorblock/VMware_open-llama-7b-v2-open-instruct-GGUF,VMware/open-llama-7b-v2-open-instruct
tensorblock/lgaalves_mistral-7b_open_platypus-GGUF,lgaalves/mistral-7b_open_platypus
tensorblock/openbmb_UltraLM-13b-v2.0-GGUF,openbmb/UltraLM-13b-v2.0
tensorblock/OpenBuddy_openbuddy-llemma-34b-v13.2-GGUF,OpenBuddy/openbuddy-llemma-34b-v13.2
tensorblock/caisarl76_Mistral-7B-OpenOrca-Guanaco-accu16-GGUF,caisarl76/Mistral-7B-OpenOrca-Guanaco-accu16
tensorblock/NickyNicky_Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2-GGUF,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2
tensorblock/Open-Orca_Mistral-7B-SlimOrca-GGUF,Open-Orca/Mistral-7B-SlimOrca
tensorblock/Abe13_Full-juni-Mistral-7B-OpenOrca-GGUF,Abe13/Full-juni-Mistral-7B-OpenOrca
tensorblock/MNCJihun_Mistral-7B-OpenOrca-eng-kor-combined-GGUF,MNCJihun/Mistral-7B-OpenOrca-eng-kor-combined
tensorblock/mwitiderrick_open_llama_3b_code_instruct_0.1-GGUF,mwitiderrick/open_llama_3b_code_instruct_0.1
tensorblock/OpenVINO_TinyLlama-1.1B-Chat-v1.0-int8-ov-GGUF,OpenVINO/TinyLlama-1.1B-Chat-v1.0-int8-ov
tensorblock/OpenVINO_neural-chat-7b-v3-3-int4-ov-GGUF,OpenVINO/neural-chat-7b-v3-3-int4-ov
tensorblock/OpenLLM-France_Lucie-7B-GGUF,OpenLLM-France/Lucie-7B
tensorblock/OpenBuddy_openbuddy-llama3.1-8b-v22.1-131k-GGUF,OpenBuddy/openbuddy-llama3.1-8b-v22.1-131k
tensorblock/jc9080_llama3-open-ko-8b-shimshimi-GGUF,jc9080/llama3-open-ko-8b-shimshimi
tensorblock/InfiniAILab_OpenR1-Qwen-7B-SFT-Instruct-GGUF,InfiniAILab/OpenR1-Qwen-7B-SFT-Instruct
tensorblock/knoveleng_Open-RS3-GGUF,knoveleng/Open-RS3
tensorblock/OpenPipe_Deductive-Reasoning-Qwen-14B-GGUF,OpenPipe/Deductive-Reasoning-Qwen-14B
tensorblock/zyh3826_llama2-13b-ft-openllm-leaderboard-v1-GGUF,zyh3826/llama2-13b-ft-openllm-leaderboard-v1
tensorblock/all-hands_openhands-lm-32b-v0.1-GGUF,all-hands/openhands-lm-32b-v0.1
tensorblock/Rano23_OpenR1-qwen-7b-lora16-sft-sparse256-local64-step10k-GGUF,Rano23/OpenR1-qwen-7b-lora16-sft-sparse256-local64-step10k
tensorblock/InfiniAILab_OpenR1-Qwen-3B-SFT-Instruct-GGUF,InfiniAILab/OpenR1-Qwen-3B-SFT-Instruct
tensorblock/Qwen2.5-7B-Open-R1-Distill-GGUF,Seungyoun/Qwen2.5-7B-Open-R1-Distill
tensorblock/OpenR1-Qwen-7B-Turkish-GGUF,WiroAI/OpenR1-Qwen-7B-Turkish
tensorblock/Qwen2.5-1.5B-Open-R1-Distill-GGUF,wooferclaw/Qwen2.5-1.5B-Open-R1-Distill
tensorblock/OpenR1-Qwen-7B-French-GGUF,WiroAI/OpenR1-Qwen-7B-French
tensorblock/OpenR1-Qwen-7B-GGUF,open-r1/OpenR1-Qwen-7B
tensorblock/Qwen2.5-0.5B-Open-R1-Distill-GGUF,jdqqjr/Qwen2.5-0.5B-Open-R1-Distill
tensorblock/mistral-7B-v0.1-open-orca-GGUF,skymizer/mistral-7B-v0.1-open-orca
tensorblock/seed_math_open2math_reasoninghp-GGUF,mlfoundations-dev/seed_math_open2math_reasoninghp
tensorblock/OpenThinker-32B-GGUF,open-thoughts/OpenThinker-32B
tensorblock/OpenThinker-7B-GGUF,open-thoughts/OpenThinker-7B
tensorblock/OpenMath2-Llama3.1-70B-GGUF,nvidia/OpenMath2-Llama3.1-70B
tensorblock/OpenMath2-Llama3.1-8B-GGUF,nvidia/OpenMath2-Llama3.1-8B
tensorblock/mistral-ko-OpenOrca-Platypus-v1-GGUF,shleeeee/mistral-ko-OpenOrca-Platypus-v1
tensorblock/OpenHermes-2.5-neural-chat-v3-3-Slerp-GGUF,Weyaxi/OpenHermes-2.5-neural-chat-v3-3-Slerp
tensorblock/openbuddy-deepseek-67b-v15.2-GGUF,OpenBuddy/openbuddy-deepseek-67b-v15.2
tensorblock/neural-chat-7b-v3-1-OpenHermes-2.5-7B-GGUF,Weyaxi/neural-chat-7b-v3-1-OpenHermes-2.5-7B
tensorblock/openinstruct-mistral-7b-GGUF,monology/openinstruct-mistral-7b
tensorblock/tiny-llama-2T-open-orca-ru-10000-step-GGUF,dim/tiny-llama-2T-open-orca-ru-10000-step
tensorblock/mistral-ko-OpenOrca-2000-GGUF,shleeeee/mistral-ko-OpenOrca-2000
tensorblock/llama3_openmath_1m_ep1-GGUF,selfcorrexp2/llama3_openmath_1m_ep1
tensorblock/Llama-OpenReviewer-8B-GGUF,maxidl/Llama-OpenReviewer-8B
tensorblock/Dolphin2.1-OpenOrca-7B-GGUF,Weyaxi/Dolphin2.1-OpenOrca-7B
tensorblock/OpenHermes-2.5-neural-chat-7b-v3-2-7B-GGUF,Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-2-7B
tensorblock/OpenHermes-2.5-neural-chat-7b-v3-1-7B-GGUF,Weyaxi/OpenHermes-2.5-neural-chat-7b-v3-1-7B
tensorblock/OpenHermes-2.5-Nebula-v2-7B-GGUF,Weyaxi/OpenHermes-2.5-Nebula-v2-7B
tensorblock/openbuddy-llemma-34b-v13.1-GGUF,OpenBuddy/openbuddy-llemma-34b-v13.1
tensorblock/Korean-OpenOrca-13B-GGUF,kyujinpy/Korean-OpenOrca-13B
tensorblock/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3-GGUF,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3
tensorblock/Open-Hermes-2.5-neural-chat-3.1-frankenmerge-11b-GGUF,S4sch/Open-Hermes-2.5-neural-chat-3.1-frankenmerge-11b
tensorblock/open_llama_3b_v2-GGUF,typeof/open_llama_3b_v2
tensorblock/LDCC-with-openorca2-GGUF,Kaeri-Jenti/LDCC-with-openorca2
tensorblock/MetaMath-OpenHermes-2.5-neural-chat-v3-3-Slerp-GGUF,Weyaxi/MetaMath-OpenHermes-2.5-neural-chat-v3-3-Slerp
tensorblock/OpenHermes-2.5-Mistral-7B-pruned50-GGUF,neuralmagic/OpenHermes-2.5-Mistral-7B-pruned50
tensorblock/openthaigpt-1.0.0-beta-13b-chat-hf-GGUF,openthaigpt/openthaigpt-1.0.0-beta-13b-chat-hf
tensorblock/OpenDolphinHermes_Llama2_7B-GGUF,sethuiyer/OpenDolphinHermes_Llama2_7B
tensorblock/openhermes_dpo_norobot_0201-GGUF,jae24/openhermes_dpo_norobot_0201
tensorblock/OPEN-SOLAR-KO-10.7B-dpo-v1-GGUF,GAI-LLM/OPEN-SOLAR-KO-10.7B-dpo-v1
tensorblock/OpenHermes-2.5-Mistral-7B-pruned2.4-GGUF,neuralmagic/OpenHermes-2.5-Mistral-7B-pruned2.4
tensorblock/openbuddy-mixtral-7bx8-v16.3-32k-GGUF,OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k
tensorblock/openbuddy-mixtral-8x7b-v16.1-32k-GGUF,OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k
tensorblock/openbuddy-mixtral-8x7b-v15.4-GGUF,OpenBuddy/openbuddy-mixtral-8x7b-v15.4
tensorblock/OPEN-SOLAR-KO-10.7B-dpo-dedup-GGUF,GAI-LLM/OPEN-SOLAR-KO-10.7B-dpo-dedup
tensorblock/OpenCM-14-GGUF,cookinai/OpenCM-14
tensorblock/OpenMistral-MoE-GGUF,Yash21/OpenMistral-MoE
tensorblock/open-llama-2-ko-7b-kullm-GGUF,kimjaewon/open-llama-2-ko-7b-kullm
tensorblock/Seraph-openchat-3.5-1210-Slerp-GGUF,Weyaxi/Seraph-openchat-3.5-1210-Slerp
tensorblock/openbuddy-mixtral-8x7b-v16.2-32k-GGUF,OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k
tensorblock/gpt2-medium-finetuned-open-korean-instructions-GGUF,jiogenes/gpt2-medium-finetuned-open-korean-instructions
tensorblock/openchat-3.5-1210-Seraph-Slerp-GGUF,Weyaxi/openchat-3.5-1210-Seraph-Slerp
tensorblock/OPEN-SOLAR-KO-10.7B-mixed-v15-dedup-GGUF,GAI-LLM/OPEN-SOLAR-KO-10.7B-mixed-v15-dedup
tensorblock/OPEN-SOLAR-KO-10.7B-mixed-v15-GGUF,GAI-LLM/OPEN-SOLAR-KO-10.7B-mixed-v15
tensorblock/Einstein-openchat-7B-GGUF,Weyaxi/Einstein-openchat-7B
