child_model,base_model
OpenGVLab/SDLM-3B-D4,- Qwen/Qwen2.5-3B
hdong0/Qwen3-1.7B-Open-R1-GRPO_deepscaler_acc_8192,Qwen/Qwen3-1.7B
onnx-community/gpt2-open-instruct-v1-ONNX,- vicgalle/gpt2-open-instruct-v1
hdong0/Qwen3-1.7B-base-Open-R1-GRPO_deepscaler_acc_4096,Qwen/Qwen3-1.7B-base
openmed-community/AFM-4.5B-OpenMed-RL-CoT-GGUF,arcee-ai/AFM-4.5B
openmed-community/AFM-4.5B-OpenMed-GGUF,arcee-ai/AFM-4.5B
ChenWu98/openthoughts3_math_train_no_thinking_max_log_prob_sum_1.5b_subset_qwen2_5_1.5b,Qwen/Qwen2.5-1.5B
ChenWu98/openthoughts3_math_random_subset_seed1_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_train_no_thinking_max_log_prob_avg_1.5b_subset_qwen2_5_1.5b,Qwen/Qwen2.5-1.5B
OpenBuddy/OpenBuddy-WorldPM-72B-Base,Qwen/WorldPM-72B
OpenMOSE/RWKV-Seed-OSS-36B-hxa079,- ByteDance-Seed/Seed-OSS-36B-Instruct
OpenGVLab/VideoChat-R1_5-7B,Qwen/Qwen2.5-VL-7B-Instruct
ChenWu98/openthoughts3_math_train_no_thinking_shortest_subset_qwen2_5_1.5b,Qwen/Qwen2.5-1.5B
hdong0/Qwen3-1.7B-base-Open-R1-GRPO_deepscaler_acc_8192,Qwen/Qwen3-1.7B-base
ChenWu98/openthoughts3_math_no_thinking_random_subset_seed1_qwen2_5_1.5b,Qwen/Qwen2.5-1.5B
danijo13/OpenCodeReasoning-Nemotron-1.1-32B-Q4_K_M-GGUF,nvidia/OpenCodeReasoning-Nemotron-1.1-32B
ChenWu98/openthoughts3_math_no_thinking_random_subset_seed0_qwen2_5_1.5b,Qwen/Qwen2.5-1.5B
wasirmen123/OpenCodeReasoning-Nemotron-1.1-14B-Q2_K-GGUF,nvidia/OpenCodeReasoning-Nemotron-1.1-14B
ucmp137538/OpenR1-Distill-7B,Qwen/Qwen2.5-7B-Instruct
hdong0/Qwen3-1.7B-Open-R1-GRPO_deepscaler_acc_4096,Qwen/Qwen3-1.7B
hdong0/deepseek-Qwen-1.5B-Open-R1-GRPO_deepscaler_acc_4096,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
Muthukumaran/OpenScholar_Reranker-Q4_K_M-GGUF,OpenSciLM/OpenScholar_Reranker
hdong0/deepseek-Qwen-1.5B-Open-R1-GRPO_deepscaler_acc_2048,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
hdong0/deepseek-Qwen-1.5B-Open-R1-GRPO_deepscaler_acc_16384,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
openchs/qa-helpline-distilbert-v1,- distilbert/distilbert-base-uncased
openchs/cls-gbv-distilbert-v1,- distilbert/distilbert-base-uncased
openchs/sum-flan-t5-base-synthetic-v1,- google/flan-t5-base
surrey-nlp/IFT-GEMBA-multilingual-Openchat,openchat/openchat-3.5-0106
burtenshaw/Qwen2.5-3B-OpenThoughts-LoRA,Qwen/Qwen2.5-3B-Instruct
Sayram/OpenR1-Distill-1.5B,Qwen/Qwen2.5-Math-1.5B
crislmfroes/svla-panda-open-articulated-objects-v10.0-remove-handle-obs,lerobot/smolvla_base
hdong0/deepseek-Qwen-1.5B-Open-R1-GRPO_deepscaler_acc_8196,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
crislmfroes/svla-panda-open-articulated-objects-v9.0-remove-handle-obs,lerobot/smolvla_base
mradermacher/OpenBuddy-R10528DistillQwen-72B-Preview4-GGUF,OpenBuddy/OpenBuddy-R10528DistillQwen-72B-Preview4
crislmfroes/svla-panda-open-articulated-objects-v8.0-remove-handle-obs,lerobot/smolvla_base
nightdefined/stable-audio-open-violins,- stabilityai/stable-audio-open-1.0
crislmfroes/svla-panda-open-articulated-objects-v7.0-remove-handle-obs,lerobot/smolvla_base
HARRY07979/stable-diffusion-v1-5-openvino,- stable-diffusion-v1-5/stable-diffusion-v1-5
ChenWu98/openthoughts3_math_train_max_log_prob_avg_7b_subset_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_train_max_log_prob_sum_7b_subset_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
ChenWu98/openthoughts3_math_train_shortest_subset_qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct
